pulse_id,previous_pulse_id,start_time,end_time,birth_time,death_time,duration,inter_pulse_interval,peak_frequency_hz,mean_energy,max_energy,freq_norm,duration_norm,energy_norm,interval_norm,x_local,pos_x,pos_y,pos_z,size,brightness,color_r,color_g,color_b,visible,fade_in,fade_out
1,0,2.392,2.396,2.392,16.9995,0.0040000000000000036,0.0,20250.0,0.1583832249045372,0.17024702429771424,0.40384615384615385,0.0,0.0,0.0,0.14071002088296714,1.6885202505956056,2.019230769230769,0.0,0.08,0.2,0.5961538461538461,0.0,0.40384615384615385,1,0.08,0.25
2,1,3.002,3.018,3.002,16.9995,0.016000000000000014,0.6059999999999999,21500.0,0.25862135626375676,0.33638036847114566,0.5961538461538461,0.6,0.3286979405102686,0.4535928143712573,0.1765934292185064,2.119121150622077,2.980769230769231,0.9860938215308059,0.29,0.4629583524082149,0.40384615384615385,0.3286979405102686,0.5961538461538461,1,0.08,0.25
3,2,3.374,3.39,3.374,16.9995,0.016000000000000014,0.3560000000000003,23500.0,0.22197785110523302,0.2980801224708557,0.9038461538461539,0.6,0.20853763309671333,0.26646706586826363,0.19847642577722874,2.381717109326745,4.519230769230769,0.62561289929014,0.29,0.3668301064773707,0.09615384615384615,0.20853763309671333,0.9038461538461539,1,0.08,0.25
4,3,4.528,4.536,4.528,16.9995,0.008000000000000007,1.1379999999999995,22625.0,0.186952008754015,0.2125833570957184,0.7692307692307693,0.2,0.09368191811710849,0.8517964071856281,0.26636077531692104,3.1963293038030525,3.8461538461538463,0.2810457543513255,0.15,0.2749455344936868,0.23076923076923073,0.09368191811710849,0.7692307692307693,1,0.08,0.25
5,4,4.8,4.81,4.8,16.9995,0.009999999999999787,0.26400000000000023,24125.0,0.19767902934302892,0.2527889281511307,1.0,0.2999999999999889,0.12885764942423267,0.19760479041916182,0.2823612459189976,3.388334951027971,5.0,0.386572948272698,0.1849999999999961,0.30308611953938613,0.0,0.12885764942423267,1.0,1,0.08,0.25
6,5,5.06,5.072,5.06,16.9995,0.012000000000000455,0.25,22250.0,0.25770089283053366,0.3519873201847077,0.7115384615384616,0.4000000000000222,0.3256795838159365,0.18712574850299396,0.2976558134062766,3.5718697608753196,3.557692307692308,0.9770387514478094,0.22000000000000774,0.4605436670527492,0.28846153846153844,0.3256795838159365,0.7115384615384616,1,0.08,0.25
7,6,6.408,6.414,6.408,16.9995,0.005999999999999339,1.3360000000000003,18625.0,0.17691478449851275,0.1952312618494034,0.15384615384615385,0.0999999999999667,0.06076814671608315,1.0,0.3769522633018618,4.523427159622342,0.7692307692307693,0.18230444014824945,0.11499999999998833,0.24861451737286655,0.8461538461538461,0.06076814671608315,0.15384615384615385,1,0.08,0.25
8,7,6.8,6.824,6.8,16.9995,0.02400000000000002,0.3860000000000001,18125.0,0.46333837979114983,0.7624120354652405,0.07692307692307693,1.0,1.0,0.2889221556886228,0.40001176505191327,4.800141180622959,0.38461538461538464,3.0,0.43,1.0,0.9230769230769231,1.0,0.07692307692307693,1,0.08,0.25
9,8,7.206,7.222,7.206,16.9995,0.016000000000000014,0.38200000000000056,18375.0,0.27810961450967525,0.3515844166278839,0.11538461538461539,0.6,0.3926032653871822,0.2859281437125752,0.42389482043589516,5.086737845230742,0.576923076923077,1.1778097961615466,0.29,0.5140826123097457,0.8846153846153846,0.3926032653871822,0.11538461538461539,1,0.08,0.25
10,9,7.87,7.888,7.87,16.9995,0.017999999999999794,0.6479999999999997,17625.0,0.2739420709013939,0.3903777718544007,0.0,0.6999999999999889,0.3789371786150766,0.48502994011976014,0.46295479278802315,5.555457513456278,0.0,1.1368115358452298,0.32499999999999607,0.5031497428920613,1.0,0.3789371786150766,0.0,1,0.08,0.25
11,10,8.264,8.282,8.264,16.9995,0.018000000000000682,0.37599999999999945,19500.0,0.28536212423816326,0.4161752164363861,0.28846153846153844,0.7000000000000333,0.4163854825829683,0.2814371257485025,0.48613194505720747,5.83358334068649,1.442307692307692,1.249156447748905,0.3250000000000116,0.5331083860663747,0.7115384615384616,0.4163854825829683,0.28846153846153844,1,0.08,0.25
12,11,9.18,9.188,9.18,16.9995,0.008000000000000895,0.8979999999999997,18125.0,0.18633221179246903,0.2145171880722046,0.07692307692307693,0.20000000000004442,0.09164949809857688,0.6721556886227541,0.5400158828200828,6.4801905938409945,0.38461538461538464,0.27494849429573065,0.15000000000001554,0.2733195984788615,0.9230769230769231,0.09164949809857688,0.07692307692307693,1,0.08,0.25
